Unnamed: 0,Age,Job,Credit amount,Duration,Sex_male,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
0,67,2,1169,6,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,22,2,5951,48,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2,49,1,2096,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
3,45,2,7882,42,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,53,2,4870,24,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,35,1,9055,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,53,2,2835,24,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
7,35,3,6948,36,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
8,61,1,3059,12,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False
9,28,3,5234,30,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
10,25,2,1295,12,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
11,24,2,4308,48,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12,22,2,1567,12,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
13,60,1,1199,24,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
14,28,2,1403,15,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
15,32,1,1282,24,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
16,53,2,2424,24,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
17,25,2,8072,30,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,44,3,12579,24,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
19,31,2,3430,24,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
20,48,2,2134,9,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
21,44,2,2647,6,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
22,48,1,2241,10,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
23,44,2,1804,12,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False
24,26,2,2069,10,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
25,36,1,1374,6,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
26,39,1,426,6,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
27,42,2,409,12,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
28,34,2,2415,7,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
29,63,2,6836,60,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30,36,2,1913,18,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
31,27,2,4020,24,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
32,30,2,5866,18,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False
33,57,1,1264,12,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
34,33,3,1474,12,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
35,25,1,4746,45,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
36,31,2,6110,48,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,37,2,2100,18,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
38,37,2,1225,10,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False
39,24,2,458,9,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
40,30,3,2333,30,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
41,26,2,1158,12,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
42,44,1,6204,18,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
43,24,2,6187,30,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
44,58,1,6143,48,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45,35,3,1393,11,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
46,39,2,2299,36,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
47,23,0,1352,6,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
48,39,1,7228,11,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
49,28,2,2073,12,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
50,29,1,2333,24,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
51,30,3,5965,27,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
52,25,2,1262,12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
53,31,2,3378,18,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
54,57,2,2225,36,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
55,26,1,783,6,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
56,52,3,6468,12,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
57,31,2,9566,36,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
58,23,3,1961,18,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
59,23,1,6229,36,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
60,27,2,1391,9,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
61,50,2,1537,15,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False
62,61,3,1953,36,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,25,2,14421,48,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
